The first step of wtdbg2 assembly involves assembling the raw reads (fastq file) and generating the contig layout and edge sequences in a file ending with the suffix ".ctg.lay.gz" using the command below:
$ wtdbg2 -i SRR25038556.fastq -o ./ICA_wtdbg2_output -g 500m -t 200 -x sq

These results in this file were generated from the ICA_wtdbg2_output.ctg.lay.gz file using the command below:
$ zcat ICA_wtdbg2_output.ctg.lay.gz | grep -oP '^>ctg\d+\s+nodes=\d+\s+len=\d+' > contigs_after_wtdbg2_step_1.txt

! There are 3363 contigs in total. !

>ctg1 nodes=4652 len=5886208
>ctg123 nodes=2584 len=3334144
>ctg124 nodes=481 len=610304
>ctg125 nodes=895 len=1153024
>ctg126 nodes=600 len=731648
>ctg127 nodes=1464 len=1910784
>ctg128 nodes=680 len=866048
>ctg129 nodes=490 len=600064
>ctg130 nodes=711 len=943616
>ctg131 nodes=625 len=772096
>ctg132 nodes=503 len=628480
>ctg133 nodes=845 len=1088000
>ctg134 nodes=463 len=591104
>ctg135 nodes=3091 len=3928832
>ctg136 nodes=991 len=1286144
>ctg137 nodes=2961 len=3805952
>ctg138 nodes=462 len=585472
>ctg139 nodes=488 len=627968
>ctg140 nodes=839 len=1075200
>ctg141 nodes=706 len=922880
>ctg142 nodes=515 len=690688
>ctg143 nodes=719 len=947968
>ctg144 nodes=537 len=672512
>ctg145 nodes=452 len=572416
>ctg146 nodes=816 len=1036032
>ctg147 nodes=616 len=775936
>ctg148 nodes=462 len=578560
>ctg149 nodes=740 len=972032
>ctg150 nodes=590 len=758272
>ctg151 nodes=1769 len=2288128
>ctg152 nodes=502 len=628480
>ctg153 nodes=1313 len=1696512
>ctg154 nodes=467 len=551424
>ctg155 nodes=465 len=548864
>ctg156 nodes=1298 len=1638912
>ctg157 nodes=424 len=545024
>ctg158 nodes=434 len=543232
>ctg159 nodes=439 len=534272
>ctg160 nodes=756 len=956928
>ctg161 nodes=441 len=530432
>ctg162 nodes=835 len=1059840
>ctg163 nodes=1171 len=1516800
>ctg164 nodes=717 len=926464
>ctg165 nodes=725 len=966144
>ctg166 nodes=405 len=514048
>ctg167 nodes=524 len=669696
>ctg168 nodes=687 len=875520
>ctg169 nodes=1184 len=1498112
>ctg170 nodes=1084 len=1413376
>ctg171 nodes=905 len=1142272
>ctg172 nodes=771 len=1015552
>ctg173 nodes=1613 len=2042880
>ctg174 nodes=595 len=723712
>ctg175 nodes=1109 len=1422336
>ctg176 nodes=407 len=530688
>ctg177 nodes=899 len=1153792
>ctg178 nodes=482 len=611328
>ctg179 nodes=391 len=487936
>ctg180 nodes=362 len=483584
>ctg181 nodes=392 len=481792
>ctg182 nodes=1547 len=2002688
>ctg183 nodes=378 len=478464
>ctg184 nodes=379 len=473856
>ctg185 nodes=394 len=472576
>ctg186 nodes=1166 len=1535232
>ctg187 nodes=629 len=798208
>ctg188 nodes=1566 len=2074624
>ctg189 nodes=861 len=1097984
>ctg190 nodes=370 len=468992
>ctg191 nodes=697 len=931840
>ctg192 nodes=2940 len=3727872
>ctg193 nodes=580 len=747264
>ctg194 nodes=1671 len=2201600
>ctg195 nodes=473 len=631040
>ctg196 nodes=657 len=858880
>ctg197 nodes=358 len=451328
>ctg198 nodes=713 len=941312
>ctg199 nodes=1123 len=1484544
>ctg200 nodes=450 len=559616
>ctg201 nodes=1114 len=1456896
>ctg202 nodes=789 len=1015040
>ctg203 nodes=610 len=833536
>ctg204 nodes=876 len=1118720
>ctg205 nodes=359 len=442368
>ctg206 nodes=829 len=1076480
>ctg207 nodes=462 len=551168
>ctg208 nodes=564 len=715008
>ctg209 nodes=594 len=749056
>ctg210 nodes=500 len=629504
>ctg211 nodes=353 len=483840
>ctg212 nodes=602 len=771328
>ctg213 nodes=399 len=507136
>ctg214 nodes=835 len=1034496
>ctg215 nodes=996 len=1254656
>ctg216 nodes=979 len=1250048
>ctg217 nodes=791 len=1059584
>ctg218 nodes=975 len=1249280
>ctg219 nodes=728 len=934400
>ctg220 nodes=700 len=926720
>ctg221 nodes=306 len=413696
>ctg222 nodes=351 len=453376
>ctg223 nodes=322 len=411904
>ctg224 nodes=673 len=873728
>ctg225 nodes=604 len=787456
>ctg226 nodes=855 len=1067520
>ctg227 nodes=311 len=406272
>ctg228 nodes=538 len=681216
>ctg229 nodes=824 len=1035776
>ctg230 nodes=308 len=394752
>ctg231 nodes=614 len=762368
>ctg232 nodes=616 len=769792
>ctg233 nodes=312 len=400128
>ctg234 nodes=470 len=648704
>ctg235 nodes=656 len=864000
>ctg236 nodes=1081 len=1399040
>ctg237 nodes=600 len=775424
>ctg238 nodes=917 len=1129472
>ctg239 nodes=300 len=386048
>ctg240 nodes=1122 len=1392896
>ctg241 nodes=944 len=1159936
>ctg242 nodes=344 len=448000
>ctg243 nodes=326 len=407296
>ctg244 nodes=302 len=381184
>ctg245 nodes=589 len=780288
>ctg246 nodes=428 len=560384
>ctg247 nodes=306 len=377344
>ctg248 nodes=461 len=629248
>ctg249 nodes=605 len=800256
>ctg250 nodes=313 len=399104
>ctg251 nodes=501 len=627200
>ctg252 nodes=497 len=667904
>ctg253 nodes=342 len=437760
>ctg254 nodes=366 len=462848
>ctg255 nodes=417 len=519168
>ctg256 nodes=562 len=730880
>ctg257 nodes=303 len=363520
>ctg258 nodes=331 len=409088
>ctg259 nodes=498 len=615168
>ctg260 nodes=283 len=357632
>ctg261 nodes=841 len=1097472
>ctg262 nodes=282 len=355840
>ctg263 nodes=456 len=598528
>ctg264 nodes=271 len=354048
>ctg265 nodes=541 len=708608
>ctg266 nodes=1652 len=2155264
>ctg267 nodes=944 len=1237504
>ctg268 nodes=489 len=626944
>ctg269 nodes=918 len=1167360
>ctg270 nodes=588 len=760320
>ctg271 nodes=720 len=935936
>ctg272 nodes=285 len=348928
>ctg273 nodes=503 len=639232
>ctg274 nodes=504 len=633856
>ctg275 nodes=402 len=478464
>ctg276 nodes=475 len=618496
>ctg277 nodes=469 len=603136
>ctg278 nodes=280 len=342528
>ctg279 nodes=868 len=1140992
>ctg280 nodes=526 len=672000
>ctg281 nodes=521 len=700416
>ctg282 nodes=1047 len=1328640
>ctg283 nodes=268 len=339968
>ctg284 nodes=290 len=353536
>ctg285 nodes=522 len=676864
>ctg286 nodes=711 len=896512
>ctg287 nodes=273 len=345344
>ctg288 nodes=536 len=709888
>ctg289 nodes=316 len=409600
>ctg290 nodes=764 len=1005056
>ctg291 nodes=674 len=866048
>ctg292 nodes=281 len=346112
>ctg293 nodes=681 len=913152
>ctg294 nodes=249 len=327424
>ctg295 nodes=455 len=583680
>ctg296 nodes=254 len=349952
>ctg297 nodes=536 len=707328
>ctg298 nodes=603 len=769280
>ctg299 nodes=421 len=536832
>ctg300 nodes=377 len=480000
>ctg301 nodes=839 len=1094400
>ctg302 nodes=322 len=419328
>ctg303 nodes=247 len=312064
>ctg304 nodes=253 len=310272
>ctg305 nodes=265 len=310016
>ctg306 nodes=485 len=619264
>ctg307 nodes=240 len=307968
>ctg308 nodes=888 len=1136896
>ctg309 nodes=256 len=305664
>ctg310 nodes=447 len=574720
>ctg311 nodes=1041 len=1343488
>ctg312 nodes=222 len=303616
>ctg313 nodes=247 len=303616
>ctg314 nodes=475 len=636672
>ctg315 nodes=417 len=521472
>ctg316 nodes=453 len=566784
>ctg317 nodes=592 len=785920
>ctg318 nodes=228 len=295680
>ctg319 nodes=315 len=401664
>ctg320 nodes=229 len=294912
>ctg321 nodes=258 len=350208
>ctg322 nodes=226 len=293376
>ctg323 nodes=378 len=493312
>ctg324 nodes=394 len=491776
>ctg325 nodes=217 len=292352
>ctg326 nodes=289 len=363264
>ctg327 nodes=251 len=290304
>ctg328 nodes=437 len=536576
>ctg329 nodes=405 len=523008
>ctg330 nodes=244 len=285184
>ctg331 nodes=443 len=580864
>ctg332 nodes=224 len=284416
>ctg333 nodes=828 len=1081856
>ctg334 nodes=334 len=436480
>ctg335 nodes=567 len=744448
>ctg336 nodes=219 len=280064
>ctg337 nodes=214 len=279552
>ctg338 nodes=217 len=279040
>ctg339 nodes=725 len=922880
>ctg340 nodes=283 len=367872
>ctg341 nodes=216 len=276480
>ctg342 nodes=437 len=560640
>ctg343 nodes=726 len=948480
>ctg344 nodes=922 len=1203200
>ctg345 nodes=212 len=273408
>ctg346 nodes=214 len=273664
>ctg347 nodes=238 len=321792
>ctg348 nodes=249 len=348416
>ctg349 nodes=369 len=443392
>ctg350 nodes=539 len=724480
>ctg351 nodes=209 len=267776
>ctg352 nodes=224 len=267264
>ctg353 nodes=382 len=478464
>ctg354 nodes=259 len=348672
>ctg355 nodes=211 len=264448
>ctg356 nodes=1017 len=1310720
>ctg357 nodes=208 len=263680
>ctg358 nodes=315 len=417024
>ctg359 nodes=201 len=260608
>ctg360 nodes=487 len=679168
>ctg361 nodes=289 len=377600
>ctg362 nodes=204 len=255488
>ctg363 nodes=359 len=440576
>ctg364 nodes=204 len=253952
>ctg365 nodes=219 len=252160
>ctg366 nodes=653 len=844544
>ctg367 nodes=201 len=250880
>ctg368 nodes=201 len=250112
>ctg369 nodes=206 len=249600
>ctg370 nodes=200 len=248064
>ctg371 nodes=321 len=412416
>ctg372 nodes=193 len=244992
>ctg373 nodes=248 len=312832
>ctg374 nodes=181 len=244224
>ctg375 nodes=198 len=242432
>ctg376 nodes=235 len=306432
>ctg377 nodes=182 len=240640
>ctg378 nodes=177 len=238848
>ctg379 nodes=540 len=683264
>ctg380 nodes=181 len=247040
>ctg381 nodes=698 len=881920
>ctg382 nodes=192 len=236032
>ctg383 nodes=266 len=381952
>ctg384 nodes=202 len=246272
>ctg385 nodes=182 len=238336
>ctg386 nodes=258 len=315136
>ctg387 nodes=274 len=359424
>ctg388 nodes=189 len=231936
>ctg389 nodes=163 len=231936
>ctg390 nodes=220 len=314112
>ctg391 nodes=179 len=230400
>ctg392 nodes=248 len=308224
>ctg393 nodes=179 len=229632
>ctg394 nodes=162 len=228864
>ctg395 nodes=172 len=226304
>ctg396 nodes=165 len=226048
>ctg397 nodes=171 len=225536
>ctg398 nodes=165 len=223232
>ctg399 nodes=263 len=342528
>ctg400 nodes=171 len=222720
>ctg401 nodes=281 len=395008
>ctg402 nodes=178 len=221440
>ctg403 nodes=283 len=378368
>ctg404 nodes=165 len=220416
>ctg405 nodes=621 len=845568
>ctg406 nodes=171 len=218624
>ctg407 nodes=215 len=287488
>ctg408 nodes=277 len=377856
>ctg409 nodes=314 len=408320
>ctg410 nodes=170 len=213504
>ctg411 nodes=173 len=212224
>ctg412 nodes=151 len=210944
>ctg413 nodes=166 len=208896
>ctg414 nodes=495 len=614656
>ctg415 nodes=162 len=205824
>ctg416 nodes=201 len=252160
>ctg417 nodes=176 len=234496
>ctg418 nodes=316 len=374784
>ctg419 nodes=368 len=483072
>ctg420 nodes=157 len=194048
>ctg421 nodes=225 len=289536
>ctg422 nodes=286 len=380928
>ctg423 nodes=153 len=193280
>ctg424 nodes=152 len=192512
>ctg425 nodes=374 len=470016
>ctg426 nodes=147 len=188672
>ctg427 nodes=148 len=183808
>ctg428 nodes=227 len=292352
>ctg429 nodes=426 len=581888
>ctg430 nodes=142 len=179712
>ctg431 nodes=392 len=542464
>ctg432 nodes=277 len=353536
>ctg433 nodes=368 len=500224
>ctg434 nodes=130 len=174080
>ctg435 nodes=176 len=220672
>ctg436 nodes=431 len=573440
>ctg437 nodes=140 len=173056
>ctg438 nodes=221 len=274176
>ctg439 nodes=142 len=172032
>ctg440 nodes=139 len=170496
>ctg441 nodes=213 len=277504
>ctg442 nodes=133 len=169728
>ctg443 nodes=360 len=480256
>ctg444 nodes=290 len=362752
>ctg445 nodes=121 len=161280
>ctg446 nodes=183 len=232192
>ctg447 nodes=119 len=157696
>ctg448 nodes=124 len=157952
>ctg449 nodes=120 len=162304
>ctg450 nodes=228 len=313856
>ctg451 nodes=248 len=319744
>ctg452 nodes=123 len=158464
>ctg453 nodes=212 len=294912
>ctg454 nodes=136 len=182272
>ctg455 nodes=130 len=152320
>ctg456 nodes=114 len=152064
>ctg457 nodes=117 len=151552
>ctg458 nodes=149 len=208896
>ctg459 nodes=163 len=222976
>ctg460 nodes=408 len=527872
>ctg461 nodes=114 len=150016
>ctg462 nodes=124 len=149760
>ctg463 nodes=123 len=149504
>ctg464 nodes=149 len=193792
>ctg465 nodes=331 len=443136
>ctg466 nodes=128 len=148224
>ctg467 nodes=102 len=146688
>ctg468 nodes=102 len=145408
>ctg469 nodes=167 len=212224
>ctg470 nodes=117 len=144640
>ctg471 nodes=125 len=157440
>ctg472 nodes=117 len=147712
>ctg473 nodes=117 len=151552
>ctg474 nodes=319 len=412416
>ctg475 nodes=115 len=139776
>ctg476 nodes=121 len=146432
>ctg477 nodes=111 len=138240
>ctg478 nodes=119 len=137984
>ctg479 nodes=111 len=140288
>ctg480 nodes=133 len=170752
>ctg481 nodes=105 len=136192
>ctg482 nodes=103 len=135936
>ctg483 nodes=105 len=134656
>ctg484 nodes=322 len=460544
>ctg485 nodes=96 len=134400
>ctg486 nodes=336 len=450048
>ctg487 nodes=259 len=347904
>ctg488 nodes=110 len=132864
>ctg489 nodes=99 len=132608
>ctg490 nodes=183 len=262656
>ctg491 nodes=102 len=131584
>ctg492 nodes=96 len=131584
>ctg493 nodes=104 len=131328
>ctg494 nodes=279 len=351232
>ctg495 nodes=103 len=130048
>ctg496 nodes=105 len=142336
>ctg497 nodes=117 len=147968
>ctg498 nodes=104 len=131584
>ctg499 nodes=152 len=208896
>ctg500 nodes=96 len=124928
>ctg501 nodes=101 len=124928
>ctg502 nodes=147 len=211968
>ctg503 nodes=96 len=124416
>ctg504 nodes=88 len=124160
>ctg505 nodes=96 len=123392
>ctg506 nodes=200 len=252928
>ctg507 nodes=112 len=138752
>ctg508 nodes=176 len=238848
>ctg509 nodes=114 len=171008
>ctg510 nodes=192 len=265984
>ctg511 nodes=95 len=120064
>ctg512 nodes=159 len=210688
>ctg513 nodes=93 len=119040
>ctg514 nodes=84 len=119040
>ctg515 nodes=99 len=124416
>ctg516 nodes=88 len=117248
>ctg517 nodes=89 len=115712
>ctg518 nodes=160 len=219904
>ctg519 nodes=166 len=213248
>ctg520 nodes=93 len=114176
>ctg521 nodes=93 len=114176
>ctg522 nodes=94 len=113920
>ctg523 nodes=214 len=282112
>ctg524 nodes=146 len=190976
>ctg525 nodes=87 len=110080
>ctg526 nodes=113 len=143872
>ctg527 nodes=92 len=108544
>ctg528 nodes=80 len=108544
>ctg529 nodes=93 len=122624
>ctg530 nodes=82 len=107264
>ctg531 nodes=95 len=104448
>ctg532 nodes=72 len=104448
>ctg533 nodes=93 len=103936
>ctg534 nodes=108 len=143872
>ctg535 nodes=71 len=101632
>ctg536 nodes=82 len=101632
>ctg537 nodes=78 len=101376
>ctg538 nodes=75 len=101120
>ctg539 nodes=73 len=100096
>ctg540 nodes=71 len=100096
>ctg541 nodes=72 len=98048
>ctg542 nodes=81 len=95744
>ctg543 nodes=72 len=94208
>ctg544 nodes=77 len=93696
>ctg545 nodes=73 len=92416
>ctg546 nodes=103 len=143616
>ctg547 nodes=66 len=90112
>ctg548 nodes=64 len=88832
>ctg549 nodes=74 len=88320
>ctg550 nodes=67 len=87808
>ctg551 nodes=80 len=86272
>ctg552 nodes=65 len=86016
>ctg553 nodes=65 len=85504
>ctg554 nodes=116 len=170752
>ctg555 nodes=64 len=84736
>ctg556 nodes=60 len=84224
>ctg557 nodes=78 len=108800
>ctg558 nodes=125 len=156160
>ctg559 nodes=63 len=83712
>ctg560 nodes=73 len=83200
>ctg561 nodes=71 len=82688
>ctg562 nodes=63 len=82688
>ctg563 nodes=60 len=82176
>ctg564 nodes=64 len=82176
>ctg565 nodes=68 len=81664
>ctg566 nodes=89 len=121088
>ctg567 nodes=64 len=81408
>ctg568 nodes=60 len=80128
>ctg569 nodes=57 len=79104
>ctg570 nodes=63 len=78848
>ctg571 nodes=61 len=82944
>ctg572 nodes=63 len=78592
>ctg573 nodes=59 len=77056
>ctg574 nodes=74 len=75008
>ctg575 nodes=51 len=73472
>ctg576 nodes=62 len=72960
>ctg577 nodes=58 len=72448
>ctg578 nodes=60 len=78336
>ctg579 nodes=59 len=70912
>ctg580 nodes=50 len=70912
>ctg581 nodes=47 len=69888
>ctg582 nodes=47 len=69632
>ctg583 nodes=54 len=69120
>ctg584 nodes=53 len=68864
>ctg585 nodes=50 len=68096
>ctg586 nodes=56 len=67840
>ctg587 nodes=56 len=66816
>ctg588 nodes=56 len=66560
>ctg589 nodes=79 len=120064
>ctg590 nodes=47 len=61952
>ctg591 nodes=46 len=60416
>ctg592 nodes=45 len=60416
>ctg593 nodes=61 len=78336
>ctg594 nodes=44 len=59648
>ctg595 nodes=40 len=58624
>ctg596 nodes=50 len=58368
>ctg597 nodes=40 len=64768
>ctg598 nodes=47 len=56576
>ctg599 nodes=70 len=97280
>ctg600 nodes=40 len=61184
>ctg601 nodes=42 len=55040
>ctg602 nodes=37 len=54016
>ctg603 nodes=44 len=54016
>ctg604 nodes=44 len=52480
>ctg605 nodes=37 len=51456
>ctg606 nodes=43 len=51712
>ctg607 nodes=39 len=48384
>ctg608 nodes=36 len=48128
>ctg609 nodes=36 len=46336
>ctg610 nodes=38 len=61184
>ctg611 nodes=34 len=43776
>ctg612 nodes=32 len=43520
>ctg613 nodes=45 len=61184
>ctg614 nodes=36 len=68352
>ctg615 nodes=35 len=41984
>ctg616 nodes=30 len=47104
>ctg617 nodes=40 len=55808
>ctg618 nodes=37 len=49664
>ctg619 nodes=31 len=39424
>ctg620 nodes=31 len=38400
>ctg621 nodes=39 len=52480
>ctg622 nodes=36 len=36864
>ctg623 nodes=30 len=36864
>ctg624 nodes=23 len=50432
>ctg625 nodes=23 len=45824
>ctg626 nodes=33 len=35840
>ctg627 nodes=28 len=35584
>ctg628 nodes=18 len=34560
>ctg629 nodes=22 len=34304
>ctg630 nodes=28 len=38912
>ctg631 nodes=19 len=33792
>ctg632 nodes=31 len=41984
>ctg633 nodes=26 len=33280
>ctg634 nodes=20 len=33280
>ctg635 nodes=22 len=33280
>ctg636 nodes=28 len=33024
>ctg637 nodes=22 len=33024
>ctg638 nodes=26 len=32256
>ctg639 nodes=22 len=31232
>ctg640 nodes=18 len=29184
>ctg641 nodes=19 len=28928
>ctg642 nodes=21 len=28672
>ctg643 nodes=19 len=28160
>ctg644 nodes=25 len=27904
>ctg645 nodes=20 len=27392
>ctg646 nodes=23 len=26624
>ctg647 nodes=26 len=51712
>ctg648 nodes=17 len=25344
>ctg649 nodes=11 len=25344
>ctg650 nodes=20 len=24832
>ctg651 nodes=18 len=23296
>ctg652 nodes=20 len=23296
>ctg653 nodes=22 len=23040
>ctg654 nodes=14 len=29184
>ctg655 nodes=20 len=23040
>ctg656 nodes=15 len=23040
>ctg657 nodes=19 len=22784
>ctg658 nodes=17 len=22528
>ctg659 nodes=20 len=22016
>ctg660 nodes=22 len=22016
>ctg661 nodes=18 len=21760
>ctg662 nodes=17 len=21760
>ctg663 nodes=19 len=21504
>ctg664 nodes=10 len=21248
>ctg665 nodes=19 len=21248
>ctg666 nodes=17 len=20736
>ctg667 nodes=18 len=20992
>ctg668 nodes=12 len=20736
>ctg669 nodes=13 len=20736
>ctg670 nodes=11 len=20224
>ctg671 nodes=16 len=19968
>ctg672 nodes=15 len=19712
>ctg673 nodes=16 len=19456
>ctg674 nodes=15 len=19200
>ctg675 nodes=15 len=19200
>ctg676 nodes=16 len=19200
>ctg677 nodes=17 len=18688
>ctg678 nodes=9 len=18432
>ctg679 nodes=17 len=18432
>ctg680 nodes=14 len=17920
>ctg681 nodes=18 len=24064
>ctg682 nodes=16 len=21504
>ctg683 nodes=14 len=17408
>ctg684 nodes=11 len=17408
>ctg685 nodes=12 len=20224
>ctg686 nodes=12 len=17408
>ctg687 nodes=15 len=17152
>ctg688 nodes=20 len=34304
>ctg689 nodes=15 len=17152
>ctg690 nodes=16 len=16896
>ctg691 nodes=13 len=16896
>ctg692 nodes=5 len=20736
>ctg693 nodes=6 len=22016
>ctg694 nodes=6 len=16640
>ctg695 nodes=18 len=16640
>ctg696 nodes=13 len=16384
>ctg697 nodes=12 len=16384
>ctg698 nodes=13 len=16128
>ctg699 nodes=10 len=16128
>ctg700 nodes=3 len=15872
>ctg701 nodes=14 len=15872
>ctg702 nodes=11 len=27904
>ctg703 nodes=11 len=15616
>ctg704 nodes=12 len=15616
>ctg705 nodes=14 len=15616
>ctg706 nodes=17 len=21248
>ctg707 nodes=6 len=14592
>ctg708 nodes=16 len=25600
>ctg709 nodes=9 len=15104
>ctg710 nodes=11 len=15104
>ctg711 nodes=16 len=15104
>ctg712 nodes=14 len=15104
>ctg713 nodes=9 len=15104
>ctg714 nodes=14 len=15104
>ctg715 nodes=14 len=14848
>ctg716 nodes=14 len=14848
>ctg717 nodes=12 len=14848
>ctg718 nodes=5 len=14592
>ctg719 nodes=9 len=14592
>ctg720 nodes=9 len=14592
>ctg721 nodes=11 len=14592
>ctg722 nodes=13 len=14592
>ctg723 nodes=13 len=14336
>ctg724 nodes=13 len=14336
>ctg725 nodes=9 len=14336
>ctg726 nodes=13 len=14336
>ctg727 nodes=4 len=14848
>ctg728 nodes=9 len=14336
>ctg729 nodes=8 len=14336
>ctg730 nodes=23 len=38656
>ctg731 nodes=15 len=18688
>ctg732 nodes=13 len=13824
>ctg733 nodes=12 len=13824
>ctg734 nodes=16 len=22016
>ctg735 nodes=12 len=13824
>ctg736 nodes=10 len=13824
>ctg737 nodes=13 len=13568
>ctg738 nodes=10 len=13568
>ctg739 nodes=11 len=13568
>ctg740 nodes=12 len=17408
>ctg741 nodes=9 len=13312
>ctg742 nodes=18 len=22784
>ctg743 nodes=10 len=13312
>ctg744 nodes=13 len=13312
>ctg745 nodes=6 len=13312
>ctg746 nodes=16 len=17920
>ctg747 nodes=5 len=13312
>ctg748 nodes=12 len=13312
>ctg749 nodes=12 len=13312
>ctg750 nodes=3 len=13056
>ctg751 nodes=12 len=13056
>ctg752 nodes=12 len=13056
>ctg753 nodes=9 len=13056
>ctg754 nodes=10 len=12800
>ctg755 nodes=7 len=12800
>ctg756 nodes=13 len=13056
>ctg757 nodes=12 len=13056
>ctg758 nodes=10 len=13056
>ctg759 nodes=12 len=13056
>ctg760 nodes=9 len=12800
>ctg761 nodes=12 len=12544
>ctg762 nodes=8 len=12800
>ctg763 nodes=10 len=12800
>ctg764 nodes=13 len=22016
>ctg765 nodes=12 len=12800
>ctg766 nodes=3 len=13056
>ctg767 nodes=10 len=12800
>ctg768 nodes=13 len=12800
>ctg769 nodes=12 len=12800
>ctg770 nodes=11 len=12800
>ctg771 nodes=12 len=24064
>ctg772 nodes=11 len=12544
>ctg773 nodes=9 len=12544
>ctg774 nodes=4 len=12544
>ctg775 nodes=12 len=12544
>ctg776 nodes=6 len=12544
>ctg777 nodes=9 len=12544
